URL,Status,Username,Contains,Followers,Language,Region,
https://www.instagram.com/p/CFLhYc1jZqe/,Active,usaphysique,A bodybuilding coaching service,41000,English,USA,
https://www.instagram.com/p/CGAflLHsFmc/,Removed,,,,,,
https://www.instagram.com/p/CGBwq2AnK_o/,Active,soni.a6708,A wannabe influencer,2000,English,Unknown,
https://www.instagram.com/p/CGBzMHGHHjx/,Active,fortiertherapy,Motivational posts,15000,English,Unknown,
https://www.instagram.com/p/CGBqn7jD6gi/,Active,alexcarlins,A wannabe influencer,4000,English,USA,
https://www.instagram.com/p/CGBodt_A8oE/,Active,sisun_by_stella,Fashion marketing,14000,Korean,South Korea,
https://www.instagram.com/p/CGBJs2KFOJD/,Active,arthurgallery,One writer-director,5000,English,USA,
https://www.instagram.com/p/CGBwWHEHfeM/,Active,realestate_monster,A real-estate investor,60000,English,USA,
https://www.instagram.com/p/CGBn_K5HUGj/,Active,giselle_director,An eyebrow tattoo parlor,10000,Korean,South Korea,
https://www.instagram.com/p/CGB0SBBFVOL/,Active,pilotsofie,A beauty influencer,21000,English,USA,
https://www.instagram.com/p/CGBzIbmH0Do/,Active,junghyukyun,Someone's personal account?,600,Korean,Unknown,
https://www.instagram.com/p/CGB0MVwFaja/,Active,k591004,Some sort of cake topper marketing,1300,Korean,Unknown,
https://www.instagram.com/p/CGB1iFoHsFo/,Active,lloveeely,An Instagram model,463000,Korean,South Korea,
https://www.instagram.com/p/CGAPb4FDtC3/,Active,jekyll._.ps,Someone's personal account?,200,Korean,Unknown,
https://www.instagram.com/p/Bte494lnUQ2/,Active,aboriginalpeople,An artist & photographer,6000,English,USA,
https://www.instagram.com/p/CFjMyhcHzjy/,Active,williamchanwaiting,A popular singer,1600000,English/Mandarin,Hong Kong,
https://www.instagram.com/p/CGAJbgeD-F9/,Active,yoonhoo2018,A mom blog,21000,Korean,Unknown,
https://www.instagram.com/p/CGBzA7HByUj/,Active,maleena_music,An Indonesian gospel singer,70000,English,Indonesia,
https://www.instagram.com/p/CF6kIOhnRkg/,Active,onwarriorequipment,An Indonesian sportwear brand,89000,English,Indonesia,
https://www.instagram.com/p/CGB1YVtnDHd/,Active,cleanisland_,A wannabe perfume brand,100,Korean,Unknown,
https://www.instagram.com/p/CGByx-1hLC8/,Active,wilsurn,Photography,28000,English,Asia,
https://www.instagram.com/p/CGAUo2gHTgX/,Active,thestorewatches,Pre-owned watches,308000,English,United Arab Emirates,
https://www.instagram.com/p/CE6xekWnEAF/,Active,ninaserebrova,An Instagram model,2800000,English,USA,
https://www.instagram.com/p/CFQ3LXNDEBU/,Active,usaphysique,A bodybuilding coaching service,41000,English,USA,
https://www.instagram.com/p/CGBwY05HlZp/,Active,sobiaashaikh,A fashion and lifestyle influencer,104000,English,USA,
https://www.instagram.com/p/CGB210TF8bO/,Removed,,,,,,
https://www.instagram.com/p/CGB3bmYnBR2/,Active,coshapapa,A cafe chef or owner?,3400,Korean,South Korea,
https://www.instagram.com/p/CGB2LW-Hx84/,Active,foodjazzproject,A dine-in and delivery project,7100,English,Indonesia,
https://www.instagram.com/p/CGBznYFBBUM/,Active,maleena_music,An Indonesian gospel singer,70000,English,Indonesia,
https://www.instagram.com/p/CF1elEmn4TK/,Active,blueziblue,A former member of Nature K-Pop group,6200,Korean,Unknown,
https://www.instagram.com/p/CGBWGAEp4pD/,Active,nando27official,Split between pitbull/bodybuilder/motivation,817000,English,USA,
https://www.instagram.com/p/CGBzoV6n2Pf/,Active,youngjoo1225,A beauty/fashion influencer,109000,Korean,Unknown,
https://www.instagram.com/p/CGB5LZ1H1sj/,Active,jacquelinemacmootryeveraert,An artist,2600,English,Unknown,
https://www.instagram.com/p/CGAR1isFMuu/,Active,armina_mevlani,An model/influencer/TV host,1600000,English,Albania,
https://www.instagram.com/p/CGB3DX8BuY8/,Active,nikkiallyrae,A cosmetologist,16000,English,USA,
https://www.instagram.com/p/CGB5yxGlJoz/,Active,moonseongjin_snap,A wedding phorographer,1100,Korean,South Korea,